taxa	distribution	data_area	t	lifespan	habitat	deadfall_location	m	type	residence_time	carbon_deadfall	sequestration	respiration_ind	feces_ind	respiration	feces	respiration_ind_low	feces_ind_low	respiration_low	feces_low
Cephalopoda	global	global	2.84e+08	1.5	mixed	mixed	700	biomass	100	16869600	1686960000	109.268569360639	93.6587737376903	44331819.5691734	37998702.4878629	24.3668909674224	20.8859065435049	9885995.76392567	8473710.65479343
Dosiduscus gigas 	E Pacific	Xile, Peru, equatorial E Paciffic	1.5e+07	2	pelagic	pelagic	15000	biomass	1000	668250	668250000	842.993196586473	722.56559707412	842993.196586473	722565.59707412	187.987482838784	161.132128147529	187987.482838784	161132.128147529
Dosiduscus gigas 	E Pacific	Mexico	220000	2	pelagic	pelagic	15000	biomass	1000	9801	9801000	842.993196586473	722.56559707412	12363.9002166016	10597.6287570871	187.987482838784	161.132128147529	2757.14974830216	2363.27121283042
Illex argentinus	SW Atlantic	SW Atlantic	9e+05	1	shelf and slope	slope	550	biomass	100	80190	8019000	93.0404259419698	79.7489365216884	152247.969723223	130498.259762763	20.7480149850593	17.7840128443365	33951.2972482788	29101.1119270961
Todarodes pacificus	N Pacific	NW Pacific (Japan area)	2300000	1	shelf and slope	slope	700	biomass	100	204930	20493000	109.268569360639	93.6587737376903	359025.299327813	307735.970852411	24.3668909674224	20.8859065435049	80062.6417501023	68625.1215000876
Ommastrephes bartramii 	Subtropical worldwide	N Pacific	350000	1	pelagic	pelagic	2500	biomass	1000	31185	31185000	255.303382855779	218.831471019239	35742.473599809	30636.4059426934	56.9326543768387	48.7994180372903	7970.57161275741	6831.91852522064
Doryteuthis pealeii 	NW Atlantic	North Carolina to Cape cod	80000	1	shelf and slope	shelf	335	biomass	10	7128	71280	66.8538519034473	57.3033016315262	15965.0989620173	13684.3705388719	14.9084089744687	12.7786362638304	3560.21706852985	3051.61463016844
Doryteuthys gahi	SW Atlantic, SE Pacific	Falkland	60000	1	shelf and slope	shelf	275	biomass	10	5346	53460	58.6117955677364	50.2386819152026	12788.0281238698	10961.1669633169	13.0704304116052	11.2032260670902	2851.73027162296	2444.34023281968
Onykia ingens	subarctic, circumpolar	Falkland	60000	2	pelagic	pelagic	15000	biomass	1000	2673	2673000	842.993196586473	722.56559707412	3371.97278634589	2890.26238829648	187.987482838784	161.132128147529	751.949931355134	644.528512590115
Doryteuthis opalescens 	NE Pacific	USA west coast	666666.666666667	1	shelf	shelf	100	biomass	10	59400	594000	29.8604648038419	25.5946841175788	199069.765358946	170631.227450525	6.65888365125675	5.70761455822007	44392.557675045	38050.7637214671
Nototodarus gouldi (solanii) 	S Autralia, N New Zealand	New Zaland	444444.444444444	1	shelf	shelf	400	biomass	10	39600	396000	75.2436563320108	64.494562570295	83604.0625911231	71660.6250781055	16.7793353620384	14.3822874531758	18643.7059578205	15980.3193924175
Illex illecebrosus 	NW Atlantic	USA east coast	333333.333333333	1	shelf and slope	slope	500	biomass	100	29700	2970000	87.3125287577147	74.8393103637554	58208.3525051431	49892.873575837	19.4706939129704	16.6891662111175	12980.4626086469	11126.1108074116
Loligo reynaudii	S Africa	S Africa	25500	1	shelf	shelf	500	biomass	10	2272.05	22720.5	87.3125287577147	74.8393103637554	4452.93896664345	3816.80482855153	19.4706939129704	16.6891662111175	993.005389561489	851.147476766991
Heterololigo bleekeri	Japan shelf, Yellow sea	Japan	72222.2222222222	1	shelf	shelf	300	biomass	10	6435	64350	62.1122697872823	53.2390883890991	14952.9538376791	12816.8175751535	13.851036162564	11.8723167107691	3334.50870580243	2858.15031925923
Octopus vulgaris	Atlantic, NW Pacific	NW Africa	11111.1111111111	1	shelf	shelf	3150	biomass	10	990	9900	297.831251301785	255.283929687244	1050.55115097631	900.472415122555	66.4163690402981	56.9283163202555	234.272906667718	200.80534857233
Enteroctopus dofleini	N Pacific	Alaska	6000	4	shelf, slope and bathial	shelf	25000	biomass	10	133.65	1336.5	1185.01333104695	1015.72571232596	284.403199451268	243.77417095823	264.25797282347	226.506833848689	63.4219134776328	54.3616401236853
Enteroctopus dofleini	N Pacific	Aleutians	3333.33333333333	4	shelf, slope and bathial	shelf	25000	biomass	10	74.25	742.5	1185.01333104695	1015.72571232596	158.001777472927	135.430094976794	264.25797282347	226.506833848689	35.2343963764627	30.2009111798251
Cuttlefishes	ICES area +	ICES area	166666.666666667	1	shelf	shelf	500	biomass	10	14850	148500	87.3125287577147	74.8393103637554	29104.1762525716	24946.4367879185	19.4706939129704	16.6891662111175	6490.23130432346	5563.05540370582
Ocotpus vulgaris, Eledone spp.	ICES area +	ICES area	138888.888888889	1	shelf	shelf	1500	biomass	10	12375	123750	181.617378618677	155.672038816008	16816.4239461738	14414.0776681489	40.5006754319649	34.7148646559699	3750.06253999675	3214.33931999721
Ommastrephidae	ICES area +	ICES area	55555.5555555556	1	shelf and slope	mixed	550	biomass	100	4950	495000	93.0404259419698	79.7489365216884	9398.0228224212	8055.44813350388	20.7480149850593	17.7840128443365	2095.75908939993	1796.36493377137
